#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-14T17:12:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-14T17:12:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-out.src=VII/192/arpord,VII/192/arplist&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=VII/192/arpord VII/192/arplist&-out=Arp&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Size&-out=Orient&-out=fl_245&-out=fl_ST6&-out=fl_ST5&-out=APG&-out=Simbad&-out=NED&-out=VT&-out=u_VT&-out=dim1&-out=dim2&-out=u_dim2&-out=MType&-out=Uchart&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7192
#Name: VII/192
#Title: Arp's Peculiar Galaxies (Webb 1996)
#INFO	ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	creator=Webb D.	    First author or institution
#INFO	cites=bibcode:1996S&T....92...92W	    Article or Data origin sources
#INFO	journal=S&T	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/192	    Dataset landing page
#INFO	publication_date=2017-10-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_192_arpord:
#Name: VII/192/arpord
#Title: list of Arp views with imaging data
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a17)	Common name (group or brightest)	[ucd=meta.id]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A8)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Size	(F4.1)	Long dimension of Arp's original photo	[ucd=phys.angSize]
#Column	Orient	(A1)	[N,S,E,W,?] Orientation of Arp photo	[ucd=meta.note]
#Column	fl_245	(I3)	?Focal length for CB245 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST6	(I3)	?Focal length for SBIG ST6 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST5	(I3)	?Focal length for SBIG ST5 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	APG	(A3)	Values from the original Arp's catalog of Peculiar Galaxies (Arp 1966, Cat. VII/74)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|RAJ2000|DEJ2000|Size|Orient|fl_245|fl_ST6|fl_ST5|APG|Simbad|NED
320|NGC 3751        |13.9| | 0.8| 0.5| |S0- pec?      |147|11 37 54.1|+21 56 10|Simbad|NED
320|NGC 3754        |15.1| | 0.4| 0.3| |SBc           |147|11 37 55.1|+21 59 08|Simbad|NED
294|NGC 3786        |12.3| | 2.2| 1.3| |SAB(rs)a pec  |106|11 39 42.5|+31 54 33|Simbad|NED
294|NGC 3788        |12.6| | 2.2| 0.7| |SAB(rs)ab pec |106|11 39 44.6|+31 55 52|Simbad|NED
 83|NGC 3799        |14.0| | 0.8| 0.5| |SB(s)b: pec   |192|11 40 09.4|+15 19 38|Simbad|NED
 83|NGC 3800        |12.7| | 2.0| 0.6| |SAB(rs)b: pec |192|11 40 13.2|+15 20 34|Simbad|NED
 87|NGC 3808        |13.4| | 1.7| 0.9| |SAB(rs)c pec  |147|11 40 44.1|+22 25 40|Simbad|NED
 87|NGC 3808A       |11.5| | 0.6| 0.2| |I0? pec       |147|11 40 44.3|+22 26 51|Simbad|NED
161|UGC 06665       |14.7| | 0.4| 0.4| |Sb pec:       |   |11 42 12.3|+00 20 03|Simbad|NED
115|UGC 06678B      |15.8| | 0.5| 0.5| |S0+           |   |11 42 54.4|+26 17 21|Simbad|NED
115|UGC 06678C      |15.9| | 0.5| 0.5| |cE            |   |11 42 54.4|+26 17 21|Simbad|NED
115|UGC 06678A      |15.5| | 0.9| 0.5| |Sdm           |   |11 43 02.9|+26 16 36|Simbad|NED
248|MCG-01-30-32    |14.5| | 1.2| 0.6| |SAB(rs)b? pec |   |11 46 34.9|-03 51 19|Simbad|NED
248|MCG-01-30-33    |14.1| | 1.8| 0.7| |SB(s)b: pec   |   |11 46 44.9|-03 50 34|Simbad|NED
248|MCG-01-30-34    |15.0| | 1.0| 0.7| |SB(s)c pec    |   |11 46 49.6|-03 49 01|Simbad|NED
224|NGC 3921        |12.4| | 2.1| 1.3| |(R')SA(s)0/a  | 47|11 51 06.6|+55 04 45|Simbad|NED
 62|UGC 06865       |    | | 1.2| 0.5| |E(c)          |   |11 53 35.9|+43 27 18|Simbad|NED
 62|UGC 06865       |14.7| |    |    | |SB            |   |11 53 35.9|+43 27 18|Simbad|NED
289|NGC 3981        |11.0| | 5.3| 2.3| |SA(rs)c pec   |327|11 56 07.2|-19 53 42|Simbad|NED
313|NGC 3994        |12.7| | 1.1| 0.6| |SA(r)c pec?   |107|11 57 36.7|+32 16 41|Simbad|NED
313|NGC 3995        |12.4| | 2.8| 1.1| |SA(m)pec      |107|11 57 44.8|+32 17 42|Simbad|NED
194|UGC 06945       |14.9| | 1.2| 0.8| |S? Pair       |   |11 57 52.5|+36 23 18|Simbad|NED
305|NGC 4016        |13.3| | 1.6| 0.8| |SBdm:         |107|11 58 29.2|+27 31 44|Simbad|NED
138|NGC 4015        |14.0| | 0.9| 0.2| |E             |147|11 58 42.7|+25 02 11|Simbad|NED
138|NGC 4015        |14.2| | 1.4| 1.4| |S?            |147|11 58 43.3|+25 02 40|Simbad|NED
305|NGC 4017        |12.2| | 1.8| 1.4| |SABbc         |107|11 58 45.6|+27 27 11|Simbad|NED
 22|ESO 572-G036    |14.9| | 0.9| 0.6| |IB(s)m        |   |11 59 29.5|-19 19 54|Simbad|NED
 22|NGC 4027        |11.2| | 3.2| 2.4| |SB(s)dm       |327|11 59 30.5|-19 15 48|Simbad|NED
244|NGC 4038        |10.7| | 5.3| 3.1| |SB?(s:)m pec  |327|12 01 52.8|-18 51 54|Simbad|NED
244|NGC 4039        |10.3| | 3.1| 1.6| |IB:(s)m pec   |327|12 01 53.8|-18 53 06|Simbad|NED
 18|NGC 4088        |10.5| | 5.8| 2.3| |SAB(rs)bc     | 47|12 05 35.3|+50 32 31|Simbad|NED
 97|UGC 07085A      |15.6| | 2.7| 1.0| |SA(r)0- pec   |   |12 05 45.3|+31 03 35|Simbad|NED
 97|UGC 07085A      |15.7| | 0.4| 0.3| |SAB0- pec     |   |12 05 45.5|+31 04 45|Simbad|NED
260|UGC 07230       |14.8| | 1.4| 0.9| |Sc            |   |12 13 38.7|+16 07 19|Simbad|NED
160|NGC 4194        |12.5| | 1.8| 1.1| |IBm pec       | 47|12 14 10.1|+54 31 40|Simbad|NED
106|NGC 4211        |13.6| | 1.0|    | |S0/a pec      |107|12 15 35.9|+28 10 38|Simbad|NED
106|NGC 4211A       |14.7| | 1.5|    | |S0/a pec      |107|12 15 36.5|+28 10 08|Simbad|NED
120|NGC 4435        |10.9| | 2.8| 2.0| |SB(s)0^0      |193|12 27 40.4|+13 04 44|Simbad|NED
120|NGC 4438        |10.1| | 8.6| 3.2| |SA(s)0/a pec  |193|12 27 45.5|+13 00 31|Simbad|NED
134|MESSIER 49      | 8.4| |10.3| 8.4| |E2            |193|12 29 46.4|+07 59 47|Simbad|NED
269|NGC 4485        |12.0| | 2.3| 1.6| |IB(s)m pec    | 75|12 30 31.2|+41 41 58|Simbad|NED
269|NGC 4490        | 9.8| | 6.4| 3.1| |SB(s)0+? sp   | 75|12 30 36.8|+41 38 23|Simbad|NED
152|MESSIER 87      | 8.6| | 8.4| 6.7| |E+0-1 pec     |193|12 30 49.4|+12 23 28|Simbad|NED
175|IC 3481         |13.3| | 0.8| 0.6| |SAB0-: pec    |193|12 32 52.2|+11 24 15|Simbad|NED
175|IC 3481A        |13.6| | 0.2|    | |E pec         |193|12 32 56.7|+11 23 23|Simbad|NED
175|IC 3483         |15.0| | 0.6| 0.4| |SAB(s)b pec:  |193|12 33 10.8|+11 20 39|Simbad|NED
 76|MESSIER 90      | 9.5| | 9.7| 4.4| |SAB(rs)ab     |194|12 36 49.8|+13 09 46|Simbad|NED
211|MCG+07-26-033   |17.0| | 0.4| 0.4| |              |   |12 37 19.3|+38 43 30|Simbad|NED
211|MCG+07-26-034   |16.0| | 0.6| 0.6| |              |   |12 37 19.3|+38 43 30|Simbad|NED
149|IC 0803B        |16.0| | 0.8| 0.1| |Im            |   |12 39 42.4|+16 35 32|Simbad|NED
149|IC 0803A        |16.0| |    |    | |Dwarf E       |   |12 39 42.4|+16 35 32|Simbad|NED
 23|NGC 4618        |10.8| | 4.2| 3.4| |SB(rs)m       | 75|12 41 32.4|+41 09 02|Simbad|NED
 34|NGC 4615        |13.1| | 1.6| 0.7| |Scd:          |149|12 41 37.4|+26 04 20|Simbad|NED
281|NGC 4627        |12.3| | 2.6| 1.8| |E4 pec        |108|12 41 59.6|+32 34 25|Simbad|NED
281|NGC 4631        | 9.3| |15.5| 2.7| |SB(s)d III    |108|12 42 05.8|+32 32 22|Simbad|NED
116|NGC 4647        |11.4| | 2.9| 2.3| |SAB(rs)c      |194|12 43 32.3|+11 34 55|Simbad|NED
116|MESSIER 60      | 8.8| | 7.5| 6.1| |E2            |194|12 43 39.6|+11 33 10|Simbad|NED
189|NGC 4651        |10.8| | 4.0| 2.7| |SA(rs)c II    |194|12 43 42.6|+16 23 40|Simbad|NED
163|NGC 4670        |12.7| | 1.5| 1.1| |SB(s)0/a pec: |108|12 45 17.0|+27 07 31|Simbad|NED
242|NGC 4676A       |13.0| | 2.3| 0.7| |S0 pec?       |108|12 46 10.1|+30 44 00|Simbad|NED
242|NGC 4676B       |13.2| | 2.2| 0.8| |SB(s)0/a pec  |108|12 46 11.2|+30 43 28|Simbad|NED
159|NGC 4747        |12.4| | 3.5| 1.2| |SBcd? pec sp  |149|12 51 45.4|+25 46 28|Simbad|NED
265|IC 3862         |16.0| | 1.3| 0.6| |              |   |12 53 53.2|+36 05 10|Simbad|NED
277|NGC 4809        |13.7| | 1.8| 0.9| |Im pec        |239|12 54 50.9|+02 39 12|Simbad|NED
277|NGC 4810        |13.0| | 1.9| 0.8| |Im pec        |239|12 54 51.2|+02 38 25|Simbad|NED
266|NGC 4861        |12.3| | 4.0| 1.5| |SB(s)m:       |108|12 59 01.7|+34 51 39|Simbad|NED
176|NGC 4933A       |11.7| | 1.0| 0.8| |S0 pec        |284|13 03 54.3|-11 30 22|Simbad|NED
176|NGC 4933B       |12.7| | 1.8| 1.1| |E/S0 pec      |284|13 03 56.7|-11 29 53|Simbad|NED
176|NGC 4933C       |17.5| | 0.5| 0.5| |Im: pec       |284|13 03 58.4|-11 30 05|Simbad|NED
139|MCG+05-31-135   |15.8| | 1.0| 0.3| |              |   |13 07 24.1|+26 42 59|Simbad|NED
139|MCG+05-31-135   |16.3| | 1.0| 0.3| |              |   |13 07 27.7|+26 43 24|Simbad|NED
196|ARP 196         |18.8| |    |    | |Ring with     |   |13 14 35.4|+26 07 09|Simbad|NED
196|ARP 196         |16.0| |    |    | |Sep nuc       |   |13 14 37.5|+26 07 26|Simbad|NED
 60|ARP 060         |16.3| |    |    | |Spiral        |   |13 14 47.3|+26 05 09|Simbad|NED
238|UGC 08335       |15.0| |    |    | |Sc            |   |13 15 29.4|+62 07 42|Simbad|NED
238|UGC 08335       |15.0| | 0.9| 0.8| |Sc            |   |13 15 35.2|+62 07 26|Simbad|NED
 57|MCG+03-34-012   |15.5| | 0.9| 0.6| |              |   |13 16 40.1|+14 26 12|Simbad|NED
 57|CGCG 101-019    |14.8| | 0.5| 0.3| |              |   |13 16 40.1|+14 25 12|Simbad|NED
193|IC 0883         |14.4| | 1.6| 1.1| |Im: pec       |   |13 20 35.3|+34 08 21|Simbad|NED
204|UGC 08454       |16.4| | 0.8| 0.3| |              |   |13 22 45.9|+84 29 58|Simbad|NED
204|UGC 08454       |16.0| |    |    | |Double System |   |13 22 49.6|+84 30 24|Simbad|NED
153|NGC 5128        | 6.8| |25.9|20.1| |S0 pec        |403|13 25 27.6|-43 01 09|Simbad|NED
 40|IC 4271         |15.0| | 0.8| 0.5| |Pair          |   |13 29 20.4|+37 24 31|Simbad|NED
 85|MESSIER 51A     | 8.4| |11.4| 7.0| |SA(s)bc pec   | 76|13 29 52.3|+47 11 54|Simbad|NED
 85|MESSIER 51B     | 9.6| | 5.8| 4.6| |I0 pec        | 76|13 29 58.6|+47 16 04|Simbad|NED
334|UGC 08498       |13.6| | 2.8| 1.0| |S3            |   |13 30 25.8|+31 37 13|Simbad|NED
104|NGC 5216        |12.6| | 2.5| 1.5| |E0 pec        | 26|13 32 07.8|+62 42 03|Simbad|NED
104|NGC 5218        |12.3| | 1.8| 1.3| |SB(s)b? pec   | 26|13 32 10.9|+62 46 03|Simbad|NED
 36|UGC 08548       |15.0| | 1.3| 0.6| |SB?           |   |13 34 14.9|+31 25 31|Simbad|NED
183|UGC 08560       |14.6| | 1.3| 1.2| |S3            |   |13 34 55.2|+31 23 33|Simbad|NED
288|NGC 5222        |13.1| | 1.6| 1.2| |Double System |195|13 34 55.5|+13 44 30|Simbad|NED
288|NGC 5221        |13.0| | 2.4| 0.8| |SB: II        |195|13 34 56.1|+13 49 55|Simbad|NED
326|UGC 08610       |15.4| | 1.0| 1.2| |Sa            |   |13 37 18.6|+06 28 44|Simbad|NED
 33|UGC 08613       |15.3| | 1.4| 0.6| |SB            |   |13 37 24.1|+06 26 10|Simbad|NED
 33|UGC 08613       |15.0| | 1.4| 0.6| |E?            |   |13 37 24.6|+06 25 45|Simbad|NED
240|NGC 5257        |12.9| | 1.8| 0.9| |Sb? pec       |240|13 39 53.0|+00 50 22|Simbad|NED
240|NGC 5258        |12.9| | 1.7| 1.1| |Sb? pec       |240|13 39 57.9|+00 49 55|Simbad|NED
239|NGC 5278        |12.7| | 1.4| 1.0| |SA(s)b? pec   | 49|13 41 39.8|+55 40 11|Simbad|NED
239|NGC 5279        |14.2| | 0.6| 0.4| |SB(s)a pec    | 49|13 41 43.7|+55 40 22|Simbad|NED
 84|NGC 5394        |13.0| | 1.8| 1.0| |SB(s)b pec    |110|13 58 33.9|+37 27 13|Simbad|NED
 84|NGC 5395        |11.4| | 2.9| 1.6| |SA(s)b pec    |110|13 58 38.3|+37 25 32|Simbad|NED
111|NGC 5421        |13.4| | 1.2| 0.9| |SB?           |110|14 01 40.7|+33 49 45|Simbad|NED
111|MCG+06-31-046   |17.0| | 0.4| 0.3| |SB            |   |14 01 41.1|+33 49 33|Simbad|NED
 26|MESSIER 101     | 7.9| |28.9|27.0| |SAB(rs)cd I   | 49|14 03 12.7|+54 21 02|Simbad|NED
271|NGC 5426        |12.2| | 3.0| 1.6| |SAB(rs)bc pec |286|14 03 25.0|-06 04 10|Simbad|NED
271|NGC 5427        |11.4| | 2.8| 2.4| |SA(s)c pec II |286|14 03 25.8|-06 01 50|Simbad|NED
117|IC 0982         |14.6| | 1.3|    | |LA +          |   |14 09 59.0|+17 41 46|Simbad|NED
117|IC 0983         |14.3| | 5.4| 4.7| |SBR4          |   |14 10 04.3|+17 44 01|Simbad|NED
 79|NGC 5490C       |13.9| | 1.2| 0.8| |SB(s)bc       |151|14 10 07.0|+17 36 55|Simbad|NED
199|NGC 5544        |13.4| | 1.0|    | |(R)SB(rs)0/a  |110|14 17 02.4|+36 34 20|Simbad|NED
199|NGC 5545        |15.2| | 1.3| 0.4| |SA9s)bc:      |110|14 17 04.9|+36 34 29|Simbad|NED
 45|UGC 09178       |15.4| | 0.7| 0.3| |SB?           |   |14 19 27.0|+51 55 15|Simbad|NED
 45|UGC 09178       |15.5| | 1.1| 0.5| |Double System |   |14 19 51.0|+51 54 16|Simbad|NED
286|NGC 5560        |12.4| | 3.7| 0.7| |SB(s)b pec    |242|14 20 04.8|+03 59 34|Simbad|NED
286|NGC 5566        |10.5| | 6.6| 2.2| |SB(r)ab       |242|14 20 20.4|+03 55 59|Simbad|NED
 69|NGC 5579        |13.6| | 1.9| 1.4| |SABcd 110     |   |14 20 26.4|+35 11 19|Simbad|NED
286|NGC 5569        |13.2| | 1.7| 1.5| |SAB(rs)cd     |242|14 20 32.0|+03 58 57|Simbad|NED
178|NGC 5613        |13.7| | 1.0| 0.8| |(R)SAB(r)0+   |111|14 24 05.9|+34 53 32|Simbad|NED
178|NGC 5615        |14.5| | 0.2| 0.2| |              |111|14 24 06.4|+34 52 27|Simbad|NED
178|NGC 5614        |11.7| | 2.5| 2.0| |SA(r)ab pec   |111|14 24 07.5|+34 51 31|Simbad|NED
 49|NGC 5665        |12.0| | 1.9| 1.4| |SAB(rs)c pec? |197|14 32 25.5|+08 04 46|Simbad|NED
 95|MCG+5-34-76     |15.8| | 0.4| 0.2| |S             |   |14 34 54.9|+26 29 55|Simbad|NED
 95|IC 4461         |15.2| | 1.3| 0.7| |SB            |   |14 35 01.9|+26 32 38|Simbad|NED
 95|IC 4462         |16.0| | 0.3| 0.3| |E             |   |14 35 04.2|+26 32 27|Simbad|NED
274|NGC 5679        |13.0| | 1.1| 0.6| |Sb            |197|14 35 05.8|+05 20 55|Simbad|NED
274|NGC 5679A       |13.5| | 1.2| 0.7| |Sb            |197|14 35 08.4|+05 21 35|Simbad|NED
274|NGC 5679C       |15.0| | 0.2| 0.1| |              |197|14 35 08.6|+05 21 27|Simbad|NED
241|UGC 09425       |15.0| | 1.1| 0.6| |S? (pair)     |   |14 37 50.8|+30 28 53|Simbad|NED
171|IC 1042         |14.9| | 1.1|    | |S0            |   |14 40 37.1|+03 27 10|Simbad|NED
171|NGC 5718        |12.9| | 1.5| 1.1| |S0-:          |242|14 40 43.1|+03 27 11|Simbad|NED
297|NGC 5752        |15.3| | 0.5| 0.2| |S0            | 77|14 45 14.2|+38 43 44|Simbad|NED
297|NGC 5753        |14.8| | 0.4| 0.4| |              | 77|14 45 18.8|+38 48 21|Simbad|NED
297|NGC 5754        |13.1| | 2.0| 1.8| |SB(rs)b       | 77|14 45 19.5|+38 43 53|Simbad|NED
297|NGC 5755        |14.1| | 1.3| 1.0| |SB?           | 77|14 45 24.0|+38 46 49|Simbad|NED
 64|UGC 09503       |15.0| | 1.5| 0.4| |Triple        |   |14 45 25.9|+19 27 53|Simbad|NED
 47|CGCG 105-026    |16.6| |    |    | |              |   |14 47 12.5|+18 51 33|Simbad|NED
 47|ARP 047         |15.0| | 0.8| 0.4| |              |   |14 47 12.5|+18 51 30|Simbad|NED
328|UGC 09532       |16.1| | 0.5| 0.1| |S0?           |   |14 47 53.4|+19 04 37|Simbad|NED
328|UGC 09532       |16.1| | 0.6| 0.2| |S0            |   |14 47 54.8|+19 03 37|Simbad|NED
328|UGC 09532       |18.6| |    |    | |S0            |   |14 47 55.0|+19 02 51|Simbad|NED
328|UGC 09532       |18.6| | 0.3| 0.1| |Scd           |   |14 47 55.2|+19 03 04|Simbad|NED
328|UGC 09532       |16.0| | 0.2| 0.2| |SB0           |   |14 47 55.8|+19 03 24|Simbad|NED
328|UGC 09532       |15.8| |    |    | |S0?           |   |14 47 56.1|+19 01 32|Simbad|NED
328|UGC 09532       |16.1| | 0.3| 0.3| |E2            |   |14 47 56.9|+19 02 41|Simbad|NED
261|MCG-02-38-016   |13.4| |    |    | |IB(s)m pec    |   |14 49 30.5|-10 10 23|Simbad|NED
261|ARP 261         |    | |    |    | |              |   |14 49 32.7|-10 09 24|Simbad|NED
261|ARP 261         |    | |    |    | |              |   |14 49 32.7|-10 09 47|Simbad|NED
261|ARP 261         |14.5| |    |    | |IB(s)m pec    |   |14 49 32.9|-10 09 51|Simbad|NED
173|UGC 09561       |14.9| | 1.2| 0.2| |Pec           |   |14 51 26.2|+09 19 42|Simbad|NED
173|UGC 09561       |    | |    |    | |              |   |14 51 27.9|+09 19 19|Simbad|NED
177|MCG+04-35-017   |17.3| | 0.2| 0.2| |              |   |14 55 48.5|+24 35 55|Simbad|NED
177|MCG+04-35-016   |18.0| | 0.4| 0.1| |S             |   |14 55 48.5|+24 35 55|Simbad|NED
302|UGC 09618       |15.3| | 0.9| 0.2| |Sc            |   |14 57 00.5|+24 36 20|Simbad|NED
302|UGC 09618       |14.6| | 0.7| 0.7| |(Sb)          |   |14 57 01.0|+24 37 01|Simbad|NED
136|NGC 5820        |12.5| | 1.7| 1.1| |S0            | 50|14 58 39.9|+53 53 10|Simbad|NED
 42|IC 4526         |15.5| | 0.4| 0.4| |              |153|15 02 38.3|+23 20 56|Simbad|NED
 42|NGC 5829        |13.3| | 1.8| 1.6| |SA(s)c I-II   |153|15 02 42.1|+23 19 57|Simbad|NED
254|NGC 5917        |14.5| | 1.5| 0.9| |Sb pec?       |289|15 21 32.2|-07 22 38|Simbad|NED
 90|NGC 5929        |13.6| | 1.0| 0.9| |SAB(s)bc I-II | 78|15 26 06.1|+41 40 14|Simbad|NED
 90|NGC 5930        |12.2| | 1.7| 0.9| |Sab: pec      | 78|15 26 07.9|+41 40 33|Simbad|NED
 91|NGC 5953        |12.1| | 1.6| 1.4| |SAa: pec      |199|15 34 32.3|+15 11 42|Simbad|NED
 91|NGC 5954        |12.1| | 1.3| 0.6| |SAB(rs)cd pec |199|15 34 34.8|+15 12 12|Simbad|NED
220|IC 4553         |13.1| | 1.5| 1.2| |S?            |154|15 34 57.1|+23 30 16|Simbad|NED
220|IC 4554         |13.1| | 1.8|    | |S?            |154|15 34 57.3|+23 30 05|Simbad|NED
220|IC 1127         |    | |    |    | |              |   |15 34 57.3|+23 30 11|Simbad|NED
 72|NGC 5994        |14.2| | 0.4| 0.2| |SB?           |154|15 46 53.2|+17 52 21|Simbad|NED
 72|NGC 5996        |12.8| | 1.8| 0.9| |S?            |154|15 46 58.9|+17 53 08|Simbad|NED
109|UGC 10053       |15.0| | 1.2| 0.7| |              |   |15 47 50.7|+69 28 10|Simbad|NED
109|UGC 10053       |15.2| | 0.5| 0.4| |              |   |15 48 07.7|+69 27 33|Simbad|NED
218|CGCG 107-052    |15.4| | 0.9| 0.5| |SAB(s)bc      |   |15 53 32.5|+18 36 10|Simbad|NED
218|ARP 218 18.0    |    | | 0.9| 0.5| |              |   |15 53 32.5|+18 36 10|Simbad|NED
218|ARP 218         |    | | 1.1| 0.8| |              |   |15 53 36.9|+18 36 35|Simbad|NED
324|UGC 10143C      |15.5| | 0.8| 0.5| |Spiral        |   |16 02 08.9|+15 53 17|Simbad|NED
324|ARP 324         |15.3| |    |    | |              |   |16 02 10.1|+15 54 59|Simbad|NED
324|UGC 10143       |15.2| |    |    | |E3            |   |16 02 12.8|+15 54 26|Simbad|NED
324|UGC 10143B      |15.1| | 0.6| 0.4| |SAB(r)ab      |   |16 02 13.3|+15 56 14|Simbad|NED
324|ARP 324         |    | | 1.7| 1.0| |              |   |16 02 15.1|+15 56 58|Simbad|NED
324|UGC 10143A      |14.2| |    |    | |E+            |   |16 02 17.0|+15 58 27|Simbad|NED
101|UGC 10164       |15.5| | 1.1| 0.9| |E?            |   |16 04 24.3|+14 46 51|Simbad|NED
122|NGC 6040B       |14.9| | 0.8|    | |SA0+ pec      |155|16 04 26.3|+17 44 37|Simbad|NED
122|NGC 6040A       |13.6| | 1.4| 0.5| |SAB(s)c       |155|16 04 26.8|+17 45 02|Simbad|NED
101|UGC 10169       |14.7| | 2.1| 0.4| |S0 pec        |   |16 04 31.6|+14 49 08|Simbad|NED
 71|NGC 6045        |13.9| | 1.3| 0.3| |SB(s)c        |155|16 05 07.8|+17 45 27|Simbad|NED
209|NGC 6052        |13.0| | 0.9| 0.7| |Sc            |155|16 05 12.6|+20 32 33|Simbad|NED
272|NGC 6054        |15.2| | 0.7| 0.4| |(R')SAB(s)b   |155|16 05 30.5|+17 46 09|Simbad|NED
172|IC 1178         |15.2| | 1.1| 0.9| |S0- pec?      |   |16 05 33.0|+17 36 05|Simbad|NED
172|IC 1181         |15.9| | 0.8| 0.7| |SAB(rs)0/a    |   |16 05 33.6|+17 35 30|Simbad|NED
188|UGC 10214       |14.4| | 3.6| 0.8| |SBS5P         |   |16 06 03.4|+55 25 18|Simbad|NED
  2|UGC 10310       |13.2| | 2.8| 2.2| |SB(s)m IV-V   | 79|16 16 18.2|+47 02 47|Simbad|NED
 66|UGC 10396       |14.6| | 1.2| 0.7| |S4            |   |16 26 52.9|+51 33 20|Simbad|NED
185|NGC 6217        |11.2| | 3.0| 2.5| |(R)SB(rs)bc   | 11|16 32 40.0|+78 11 57|Simbad|NED
 73|IC 1222         |13.5| | 1.7| 1.4| |SXS5          |   |16 35 08.9|+46 12 50|Simbad|NED
125|UGC 10491       |13.6| | 1.1| 0.4| |Ring B        | 80|16 38 13.8|+41 55 51|Simbad|NED
125|UGC 10491       |15.5| |    |    | |Ring A        |   |16 38 13.8|+41 56 19|Simbad|NED
330|I Zw 167        |    | | 6.1|    | |6 galaxy chain|   |16 49 07.9|+53 25 53|Simbad|NED
103|UGC 10586       |14.6| | 1.4|    |?|S0 pec        | 80|16 49 26.0|+45 27 30|Simbad|NED
103|UGC 10586       |15.2| | 0.4|    | |SAB(rs)0+ pec | 80|16 49 28.3|+45 27 41|Simbad|NED
103|UGC 10586       |14.6| | 0.4|    | |Sa            | 80|16 49 33.1|+45 29 53|Simbad|NED
312|MCG+08-31-004   |14.1| | 1.1| 0.9| |S             |   |16 49 48.4|+46 43 05|Simbad|NED
312|ARP 312         |    | |    |    | |              |   |16 49 50.2|+46 42 50|Simbad|NED
208|MCG+08-31-011   |15.0| | 0.4| 0.3| |S             |   |16 51 01.3|+47 13 25|Simbad|NED
208|MCG+08-31-010   |14.8| | 0.4| 0.3| |              |   |16 51 02.8|+47 13 15|Simbad|NED
293|NGC 6285        |13.5| | 1.3| 0.7| |S0+? pec      | 52|16 58 23.9|+58 57 21|Simbad|NED
293|NGC 6286        |13.3| | 1.3| 1.2| |Sb: pec       | 52|16 58 31.4|+58 56 13|Simbad|NED
 32|UGC 10770A      |14.4| |    |    | |I9P           |   |17 13 07.6|+59 19 23|Simbad|NED
 32|UGC 10770B      |14.3| | 1.2| 0.6|?|              |   |17 13 10.7|+59 19 58|Simbad|NED
124|NGC 6361        |13.1| | 2.2| 0.6| |SAb: sp I-II  | 29|17 18 40.8|+60 36 24|Simbad|NED
102|UGC 10814A      |15.5| | 0.9| 0.7|?|Sc irr        |   |17 19 14.4|+48 58 49|Simbad|NED
102|UGC 10814B      |14.9|?| 0.9| 0.6|?|Sb            |   |17 19 21.2|+49 02 25|Simbad|NED
102|MCG+08-31-042   |14.9| | 0.7| 0.4| |I             |   |17 19 29.9|+49 03 01|Simbad|NED
 30|NGC 6365        |12.2| | 1.3|    |?|Sdm           | 29|17 22 42.9|+62 10 27|Simbad|NED
 30|NGC 6365A       |13.8| | 1.1| 0.2| |SBcd:         | 29|17 22 43.3|+62 09 57|Simbad|NED
311|IC 1258         |14.4| | 0.9| 0.7| |Sab?          |   |17 27 17.4|+58 29 08|Simbad|NED
310|IC 1259         |15.0| |    |    | |S?            |   |17 27 24.9|+58 31 00|Simbad|NED
310|IC 1259         |15.0| |    |    | |S0 pec        |   |17 27 26.6|+58 30 57|Simbad|NED
